Country,Period,Total,Women,Men,Share of people with no bias,Political,Educational,Economic,Physical integrity
New Zealand,2017-2022,34.44,31.14,38.41,65.56,14.47,2.65,8.99,20.34
Nicaragua,2017-2022,93.17,92.80,93.55,6.83,44.08,20.92,34.33,86.00
Nigeria,2017-2022,99.51,99.01,100.00,0.49,85.53,41.47,79.30,89.98
Pakistan,2017-2022,99.80,99.79,99.81,0.20,84.56,59.50,91.63,92.23
"Palestine, State of",2010-2014,98.20,97.46,98.98,1.80,89.30,26.70,79.50,84.00
Peru,2017-2022,89.07,88.68,89.46,10.93,40.07,14.14,32.21,76.79
Philippines,2017-2022,99.50,99.67,99.33,0.50,75.33,43.50,77.83,92.83
Poland,2010-2014,81.37,80.19,82.77,18.63,44.31,11.80,42.44,57.04
Qatar,2010-2014,99.81,99.83,99.80,0.19,91.51,27.45,81.70,87.55
Romania,2017-2022,86.63,83.03,92.15,13.37,49.40,19.09,52.51,63.96
Russian Federation,2017-2022,91.44,88.06,96.25,8.56,68.18,26.69,66.52,58.62
Rwanda,2010-2014,99.15,99.22,99.08,0.85,67.78,36.15,65.68,97.64
Serbia,2017-2022,77.63,70.33,85.60,22.37,42.35,10.42,29.64,57.17
Singapore,2017-2022,77.63,77.02,78.35,22.37,49.35,17.40,37.82,56.56
Slovenia,2010-2014,61.09,55.36,68.89,38.91,33.58,8.04,25.91,33.68
South Africa,2010-2014,97.14,96.32,97.96,2.86,75.73,37.69,55.28,89.69
Korea (Republic of),2017-2022,89.88,86.83,93.08,10.12,72.85,33.73,65.54,59.20
Spain,2010-2014,53.49,51.89,55.17,46.51,29.52,11.52,20.27,32.04
Sweden,2010-2014,31.76,30.14,33.57,68.24,15.92,2.57,8.87,17.83
Tajikistan,2017-2022,99.92,99.83,100.00,0.08,78.33,51.67,78.08,97.50
Thailand,2017-2022,95.47,95.08,95.85,4.53,65.87,31.40,53.80,81.20
Trinidad and Tobago,2010-2014,87.39,85.77,89.36,12.61,39.14,5.61,37.74,74.77
Tunisia,2017-2022,96.77,95.22,98.57,3.23,82.95,24.75,71.03,77.24
Turkey,2017-2022,91.64,89.40,93.87,8.36,68.86,32.01,63.98,76.02
Ukraine,2017-2022,86.11,82.35,91.60,13.89,51.12,23.04,52.60,66.18
United States,2017-2022,50.65,51.49,49.93,49.35,34.82,8.59,13.79,31.55
Uruguay,2010-2014,78.60,79.36,77.75,21.40,28.60,9.20,34.30,57.30
Uzbekistan,2010-2014,97.93,97.50,98.62,2.07,78.67,48.60,80.33,84.27
Venezuela (Bolivarian Republic of),2017-2022,92.35,91.28,93.52,7.65,55.80,17.90,31.01,80.84
Viet Nam,2017-2022,93.75,92.98,94.68,6.25,65.08,27.67,64.33,77.75
Yemen,2010-2014,98.70,97.81,99.60,1.30,87.40,45.30,87.20,85.40
Zimbabwe,2017-2022,98.68,98.86,98.50,1.32,61.56,14.24,55.14,95.47
Bulgaria,2005-2009,78.22,69.98,87.99,21.78,53.15,10.79,36.16,44.86
Burkina Faso,2005-2009,98.57,98.25,98.84,1.43,65.65,33.05,77.12,90.48
Finland,2005-2009,52.47,45.71,59.71,47.53,25.15,6.80,23.87,31.16
France,2005-2009,57.24,57.01,57.50,42.76,36.16,6.89,26.07,23.18
United Kingdom,2005-2009,57.73,52.17,63.48,42.27,26.42,6.82,25.17,35.16
Hungary,2005-2009,67.33,63.13,72.13,32.67,42.90,18.67,38.23,33.37
Italy,2005-2009,64.43,60.36,68.51,35.57,17.98,7.81,29.35,47.83
Mali,2005-2009,99.48,99.21,99.74,0.52,81.36,47.39,88.53,91.92
Moldova (Republic of),2005-2009,90.73,89.47,92.12,9.27,60.33,16.73,58.80,67.21
Norway,2005-2009,42.15,39.92,44.36,57.85,19.51,3.71,21.85,18.15
Switzerland,2005-2009,56.89,56.14,57.81,43.11,21.11,8.70,29.01,32.39
Zambia,2005-2009,97.07,95.54,98.55,2.93,65.87,23.53,55.33,89.93
